Model,Jac Ealier Box,WJac Ealier Box,Euc Ealier Box,Auc Ealier Box,Es Ealier Box
LSTM,0.0,1.4777856107798073e-13,1.0044206023866846,0.04186024853801169,-1.5315925190140103e-13
LSTM+input-cell At.,0.1503186956252574,0.10653603838096828,0.9165786489397277,0.5166725974049707,0.018949273348974397
